Utbildningsanordnare, administrativ enhet;Administrativ enhet, besöksadress;Administrativ enhet, postadress;Administrativ enhet, postnummer;Administrativ enhet, postort;Administrativ enhet, e-post;Telefonnummer;Utbildningsnummer;Utbildningsnamn;Studieort;Studieform;Status;Beviljade platser;Antal Studerande
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH02110;Symtomlindring palliativ vård;Bromma, Helsingborg, Huskvarna, Linköping, Skellefteå;Distans;Startat;60;38
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH02333;UX-Designer;Linköping;Distans;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH02351;Samordnare KMA - Kvalitet, Miljö & Arbetsmiljö;Linköping;Distans;Beviljat;30;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH02387;El och drifttekniker inom kraft- och värmeproduktion ;Jönköping, Linköping;Distans;Beviljat;20;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH02401;Data Manager ;Helsingborg;Bunden;Beviljat;30;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH02408;Nätverkstekniker;Linköping;Distans;Beviljat;25;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH02426;Medicintekniker;Linköping;Distans;Beviljat;30;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH02445;IT-säkerhetsspecialist;Bromma;Bunden;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH02452;Specialistundersköterska inom vård och omsorg av äldre;Huskvarna, Katrineholm, Ljungby;Distans;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH02666;CAD-konstruktör inom mekanik;Jönköping;Bunden;Beviljat;25;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH02684;Energiingenjör;Bromma;Bunden;Beviljat;20;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH02716;Elkonstruktör;Växjö;Bunden;Beviljat;20;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH02730;Socialpedagog;Växjö;Bunden;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH02734;Apotekstekniker;Helsingborg;Bunden;Beviljat;35;
Uddevalla kommun, Uddevalla Yrkeshögskola;Kaserngården 6, I17;Uddevalla kommun;45181;Uddevalla;yh@uddevalla.se;0522-69 78 00;YH00575;Stödpedagog inom funktionshinderområdet;Uddevalla;Bunden;Beviljat;26;
Uddevalla kommun, Uddevalla Yrkeshögskola;Kaserngården 6, I17;Uddevalla kommun;45181;Uddevalla;yh@uddevalla.se;0522-69 78 00;YH00944;Marin Serviceingenjör;Uddevalla;Distans;Beviljat;32;
Uddevalla kommun, Uddevalla Yrkeshögskola;Kaserngården 6, I17;Uddevalla kommun;45181;Uddevalla;yh@uddevalla.se;0522-69 78 00;YH01077;Skräddare;Uddevalla;Bunden;Beviljat;14;
Uddevalla kommun, Uddevalla Yrkeshögskola;Kaserngården 6, I17;Uddevalla kommun;45181;Uddevalla;yh@uddevalla.se;0522-69 78 00;YH01096;Digital butiksledare;Uddevalla;Distans;Beviljat;25;
Uddevalla kommun, Uddevalla Yrkeshögskola;Kaserngården 6, I17;Uddevalla kommun;45181;Uddevalla;yh@uddevalla.se;0522-69 78 00;YH01452;Backend-utvecklare;Lidköping, Strömstad, Uddevalla;Bunden;Beviljat;25;
Umeå kommun - Dragonskolan;Dragongatan 1;Centrum för vuxenutbildning Yh ;90184;Umeå;yrkeshogskolan@umea.se;90161214;YH00664;CNC Tekniker - blått certifikat;Umeå;Distans;Startat;20;23
Umeå kommun - Dragonskolan;Dragongatan 1;Centrum för vuxenutbildning Yh ;90184;Umeå;yrkeshogskolan@umea.se;90161214;YH02672;Byggnadsvårdsingenjör - arbetsledning, renovering och återbruk;Umeå;Distans;Beviljat;20;
Umeå kommun - Forslundagymnasiet;Forslunda 1;Centrum för vuxenutbildning Yh;90184;Umeå;yrkeshogskolan@umea.se;90161214;YH00973;Driftledare lantbruk;Umeå;Distans;Beviljat;20;
Umeå kommun - Forslundagymnasiet;Forslunda 1;Centrum för vuxenutbildning Yh;90184;Umeå;yrkeshogskolan@umea.se;90161214;YH01947;Ridlärare;Umeå;Bunden;Beviljat;12;
Umeå kommun - Umevux;Sveagatan 8;Centrum för vuxenutbildning Yh;90184;Umeå;yrkeshogskolan@umea.se;90161214;YH01496;Tandsköterska;Umeå;Bunden;Startat;35;35
Umeå kommun - Umevux;Sveagatan 8;Centrum för vuxenutbildning Yh;90184;Umeå;yrkeshogskolan@umea.se;90161214;YH02335;Specialiserad undersköterska, inriktning psykiatri;Umeå;Bunden;Beviljat;20;
Upplands-Bro kommun, Vuxenutbildningen;Kyrkvägen 6;Kyrkvägen 6;19630;Kungsängen;robert.vaardahl@upplands-bro.se;858132071;YH00979;Trafiklärare;Kungsängen;Bunden;Startat;30;24
Upplands-Bro kommun, Vuxenutbildningen;Kyrkvägen 6;Kyrkvägen 6;19630;Kungsängen;robert.vaardahl@upplands-bro.se;858132071;YH02386;Drifttekniker - värme, vatten, cirkuläritet;Bro;Distans;Beviljat;20;
Upplands-Bro kommun, Vuxenutbildningen;Kyrkvägen 6;Kyrkvägen 6;19630;Kungsängen;robert.vaardahl@upplands-bro.se;858132071;YH02386;Drifttekniker - värme, vatten, cirkuläritet;Bro;Distans;Startat;20;23
Utbildarna i Helsingborg AB;Motorgatan 2;Motorgatan 2;25227;Helsingborg;info@utbildarna.com;42326800;YH00978;Trafiklärare;Helsingborg;Bunden;Beviljat;24;
Utbildarna i Helsingborg AB;Motorgatan 2;Motorgatan 2;25227;Helsingborg;info@utbildarna.com;42326800;YH00978;Trafiklärare;Helsingborg;Bunden;Startat;24;24
Utbildarna i Helsingborg AB;Motorgatan 2;Motorgatan 2;25227;Helsingborg;info@utbildarna.com;42326800;YH01566;Trafiklärarutbildning;Kungsbacka;Bunden;Startat;24;24
Vansbro kommun/Lärcentrum Vansbro;Kommunalkontoret;Kommunalkontoret;78050;Vansbro;larcentrum@vansbro.se;0281-75275;YH01064;Nordisk Spårsvetsare;Vansbro;Bunden;Beviljat;30;
Vetlanda kommun Vetlanda Lärcentrum;Kyrkogatan 54a;Kyrkogatan 54a;57431;Vetlanda;vetlanda.larcentrum@vetlanda.se;0383-97600;YH02428;Produktionstekniker med inriktning hållbar industri;Vetlanda;Bunden;Beviljat;20;
Vilhelmina kommun, Vilhelmina Lärcentrum;Skolgatan 12;Skolgatan 12;91281;Vilhelmina;larcentrum@vilhelmina.se;0940-140 00;YH02390;Vindkraftstekniker;Vilhelmina;Distans;Beviljat;35;
Wången AB;Alsen;Vången 110;83593;Alsen;info@wangen.se;0640-17400;YH01029;Kuskutbildningen i Brukshästkörning;Alsen;Bunden;Beviljat;12;
Väddö folkhögskola;Grisslehamnsvägen 28;Grisslehamnsvägen 28;76431;Väddö;info@vaddo.fhsk.se;0176-520800;YH01503;Akvaponiingenjör;Härnösand, Lysekil, Väddö;Distans;Beviljat;32;
Värmdö kommun, Komvux Värmdö;Gustavsberg;Gustavsberg;13481;Gustavsberg;jennie.nilsson@varmdo.se;08-57048331;YH00329;Trafiklärarutbildning;Gustavsberg;Bunden;Beviljat;25;
Västerbergslagens utbildningsförbund - Teknik;Bergsgatan 17;Box 830;77128;Ludvika;info@vbu.ludvika.se;0240-86500;YH01167;Bryggeriteknik;Ludvika;Distans;Beviljat;20;
Västerbo Social Omsorg AB ;Stora Nygatan 59;Stora Nygatan 59;21137;Malmö;annina.hohenthal@vaster-bo.se;733687687;YH02654;Socialpedagog;Malmö;Bunden;Beviljat;35;
Västerås Stad/Barn- och Utbildningsförvaltningen/Västerås Yrkeshögskola;Karlsgatan 9 A;Västerås Stad;72214;Västerås;vyh@vasteras.se;21399820;YH00266;Systemtekniker spårfordon;Västerås;Bunden;Beviljat;20;
Västerås Stad/Barn- och Utbildningsförvaltningen/Västerås Yrkeshögskola;Karlsgatan 9 A;Västerås Stad;72214;Västerås;vyh@vasteras.se;21399820;YH00300;Lönekonsult;Västerås;Bunden;Beviljat;35;
Västerås Stad/Barn- och Utbildningsförvaltningen/Västerås Yrkeshögskola;Karlsgatan 9 A;Västerås Stad;72214;Västerås;vyh@vasteras.se;21399820;YH00330;Elkraftsingenjör;Västerås;Bunden;Beviljat;25;
Västerås Stad/Barn- och Utbildningsförvaltningen/Västerås Yrkeshögskola;Karlsgatan 9 A;Västerås Stad;72214;Västerås;vyh@vasteras.se;21399820;YH01229;Trafiklärare;Västerås;Bunden;Beviljat;20;
Västerås Stad/Barn- och Utbildningsförvaltningen/Västerås Yrkeshögskola;Karlsgatan 9 A;Västerås Stad;72214;Västerås;vyh@vasteras.se;21399820;YH01233;Flygtekniker B1.1;Västerås;Bunden;Beviljat;15;
Västerås Stad/Barn- och Utbildningsförvaltningen/Västerås Yrkeshögskola;Karlsgatan 9 A;Västerås Stad;72214;Västerås;vyh@vasteras.se;21399820;YH01619;Relä och kontrollanläggningar i Elkraftsystem;Västerås;Distans;Startat;25;20
Västerås Stad/Barn- och Utbildningsförvaltningen/Västerås Yrkeshögskola;Karlsgatan 9 A;Västerås Stad;72214;Västerås;vyh@vasteras.se;21399820;YH01780;Bagare och konditor;Västerås;Bunden;Beviljat;20;
Västerås Stad/Barn- och Utbildningsförvaltningen/Västerås Yrkeshögskola;Karlsgatan 9 A;Västerås Stad;72214;Västerås;vyh@vasteras.se;21399820;YH01994;Distributionselektriker;Västerås;Bunden;Beviljat;20;
Västra Götalands läns landsting, Biologiska Yrkeshögskolan i Skara - BYS;Uddetorp 1;Regionens Hus;54180;Skövde;naturbruk.bys@vgregion.se;104 550 830;YH00126;Hovslagare;Skara;Bunden;Beviljat;18;
Västra Götalands läns landsting, Biologiska Yrkeshögskolan i Skara - BYS;Uddetorp 1;Regionens Hus;54180;Skövde;naturbruk.bys@vgregion.se;104 550 830;YH00127;Kvalificerad Djurvårdare - nivå 2;Skara;Bunden;Startat;25;27
Västra Götalands läns landsting, Biologiska Yrkeshögskolan i Skara - BYS;Uddetorp 1;Regionens Hus;54180;Skövde;naturbruk.bys@vgregion.se;104 550 830;YH00301;Verksamhetsledare inom hästrelaterade näringar;Axvall;Distans;Beviljat;16;
Västra Götalands läns landsting, Biologiska Yrkeshögskolan i Skara - BYS;Uddetorp 1;Regionens Hus;54180;Skövde;naturbruk.bys@vgregion.se;104 550 830;YH00494;Agrotekniker;Skara;Bunden;Beviljat;16;
Västra Götalands läns landsting, Biologiska Yrkeshögskolan i Skara - BYS;Uddetorp 1;Regionens Hus;54180;Skövde;naturbruk.bys@vgregion.se;104 550 830;YH00650;Klövvårdare;Skara;Distans;Beviljat;8;
Västra Götalands läns landsting, Biologiska Yrkeshögskolan i Skara - BYS;Uddetorp 1;Regionens Hus;54180;Skövde;naturbruk.bys@vgregion.se;104 550 830;YH00740;Småskalig virkesförädling: sågning och timmerhantverk;Svenljunga;Distans;Beviljat;14;
XeDrix AB;Storgatan 82A;Torpa Stenäng 1;35593;Växjö;stefan.gustavsson@xedrix.se;070-6019573;YH02680;Processtekniker - smart industri;Jönköping, Södertälje;Distans;Beviljat;35;
Xenter Yrkeshögskola ;Utbildningsvägen 3, 147 40 Tumba;Botkyrka kommun;14785;Tumba;Info@xenter.se;08-530 623 70;YH00314;Livesändningsspecialist;Tumba;Bunden;Beviljat;26;
Xenter Yrkeshögskola ;Utbildningsvägen 3, 147 40 Tumba;Botkyrka kommun;14785;Tumba;Info@xenter.se;08-530 623 70;YH00448;Marin servicetekniker;Tumba;Bunden;Beviljat;20;
Xenter Yrkeshögskola ;Utbildningsvägen 3, 147 40 Tumba;Botkyrka kommun;14785;Tumba;Info@xenter.se;08-530 623 70;YH00722;Fastighetsförvaltare;Tumba;Bunden;Beviljat;35;
Xenter Yrkeshögskola ;Utbildningsvägen 3, 147 40 Tumba;Botkyrka kommun;14785;Tumba;Info@xenter.se;08-530 623 70;YH00727;3D-tekniker;Tumba;Bunden;Beviljat;25;
Xenter Yrkeshögskola ;Utbildningsvägen 3, 147 40 Tumba;Botkyrka kommun;14785;Tumba;Info@xenter.se;08-530 623 70;YH00818;VFX-artist;Tumba;Bunden;Beviljat;24;
Xenter Yrkeshögskola ;Utbildningsvägen 3, 147 40 Tumba;Botkyrka kommun;14785;Tumba;Info@xenter.se;08-530 623 70;YH00847;Hiss- och rulltrappstekniker ;Tumba;Bunden;Beviljat;32;
Xenter Yrkeshögskola ;Utbildningsvägen 3, 147 40 Tumba;Botkyrka kommun;14785;Tumba;Info@xenter.se;08-530 623 70;YH00994;Elkonstruktör;Tumba;Distans;Beviljat;35;
Xenter Yrkeshögskola ;Utbildningsvägen 3, 147 40 Tumba;Botkyrka kommun;14785;Tumba;Info@xenter.se;08-530 623 70;YH01086;Dokumentcontroller / registrator;Tumba;Distans;Beviljat;35;
Xenter Yrkeshögskola ;Utbildningsvägen 3, 147 40 Tumba;Botkyrka kommun;14785;Tumba;Info@xenter.se;08-530 623 70;YH01567;Trafiklärare;Tumba;Bunden;Beviljat;20;
Xenter Yrkeshögskola ;Utbildningsvägen 3, 147 40 Tumba;Botkyrka kommun;14785;Tumba;Info@xenter.se;08-530 623 70;YH02361;Redigerare - Postproduktion;Tumba;Bunden;Startat;20;22
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00007;Drift- och fastighetstekniker ;Uppsala, Västerås;Distans;Beviljat;35;42
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00056;Affärsutvecklare besöksnäring ;Åre;Distans;Startat;25;27
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00118;Affärsutvecklare besöksnäring ;Härnösand, Örnsköldsvik;Distans;Startat;25;27
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00146;Hotel Supervisor;Gävle, Uppsala, Västerås;Distans;Startat;30;38
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00224;Specialistundersköterska med Neuropsykiatrikompetens;Uppsala;Distans;Beviljat;35;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00225;Instrument och steriltekniker ;Järfälla;Distans;Beviljat;20;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00286;Trafiklärare ;Borlänge;Distans;Startat;30;32
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00319;Socialpedagog ;Sundsvall;Distans;Beviljat;35;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00560;Socialpedagog;Uppsala;Distans;Beviljat;35;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00579;Arbetsledare – Hållbar grönyteförvaltning ;Uppsala;Distans;Startat;26;23
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00581;Arbetsledare – Utemiljö;Helsingborg, Stockholm;Distans;Beviljat;30;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00590;Trafiklärare ;Norrköping;Distans;Startat;30;30
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00598;Elnätsspecialist inom Ställverk och Transformatorteknik ;Malmö;Distans;Startat;30;34
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00607;Electric Powertrain Engineering;Trollhättan;Distans;Beviljat;25;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00746;Hållbar Produktionsutveckling Industri 4.0 ;Örnsköldsvik;Distans;Startat;20;31
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00752;TRAC Turism- och Resekonsult ;Stockholm, Uppsala, Västerås;Distans;Beviljat;30;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00753;TRAC  Turism- och Resekonsult;Helsingborg, Jönköping, Umeå;Distans;Startat;30;33
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00754;Affärsutvecklare besöksnäring ;Falun, Gävle;Distans;Beviljat;30;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00780;Advanced Software Developer Embedded Systems;Trollhättan;Bunden;Beviljat;28;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00923;Betongingenjör;Göteborg;Distans;Beviljat;30;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00949;Robot och automationsprogrammerare;Örnsköldsvik;Distans;Startat;20;27
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00950;Robot och automationsprogrammerare ;Eskilstuna, Västerås;Distans;Startat;30;33
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00960;Systemutvecklare Java ;Sundsvall;Distans;Beviljat;35;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH00969;Ytbehandlingsspecialist ;Trollhättan;Distans;Beviljat;20;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01016;Bygglovshandläggare;Helsingborg, Växjö;Distans;Beviljat;30;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01023;Bygglovshandläggare ;Borlänge, Stockholm;Distans;Beviljat;30;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01046;Instrument- och steriltekniker;Kristianstad;Distans;Beviljat;35;31
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01111;Hållbar Produktionsutveckling Industri 4.0 ;Avesta, Falun, Ludvika;Distans;Startat;24;35
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01120;Behandlingspedagog;Trollhättan;Distans;Startat;35;45
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01168;Fastighetsförvaltare;Halmstad, Luleå, Västerås;Distans;Beviljat;30;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01171;Trafiklärare ;Luleå;Distans;Startat;20;22
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01329;Power grids - smarta elnät;Ludvika, Västerås;Distans;Startat;70;36
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01375;Arbetsledning inom ytbehandling;Trollhättan;Distans;Startat;50;21
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01376;Electric Driveline;Trollhättan;Distans;Startat;80;41
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01475;Elnätsspecialist inom Reläskydd;Sundsvall;Distans;Beviljat;30;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01545;Träbyggnadsprojektör hållbart byggande;Stockholm, Varberg, Växjö;Distans;Beviljat;30;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01579;Tekniker tunga maskiner och fordon;Göteborg, Västerås;Distans;Beviljat;20;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01579;Tekniker tunga maskiner och fordon;Göteborg, Västerås;Distans;Startat;20;23
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01624;Programmering och utveckling av inbyggda system ;Trollhättan;Distans;Startat;60;25
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01689;Instrument- och steriltekniker;Falun;Distans;Beviljat;35;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01691;Instrument och steriltekniker ;Linköping;Distans;Beviljat;35;29
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01691;Instrument- och steriltekniker;Linköping;Distans;Beviljat;35;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01728;BI-Analyst med AI-kompetens;Mölndal, Trollhättan;Distans;Beviljat;30;36
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01740;Anläggningsingenjör hållbart byggande;Norrköping;Distans;Beviljat;30;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01744;BIM-samordnare;Jönköping, Stockholm, Växjö;Distans;Beviljat;25;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01812;Tandsköterska;Helsingborg, Sundsvall;Distans;Beviljat;35;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01851;Kvalitetsutveckling hållbara fordonsverkstäder;Västerås;Distans;Startat;75;19
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01854;Cloud Native Computing;Sundsvall;Distans;Startat;60;35
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01897;Cybersäkerhet i elkraftsystem;Västerås;Distans;Startat;75;26
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01920;Miljösanerare samhällsbyggnad;Nynäshamn;Distans;Beviljat;20;28
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01974;Laborant ;Umeå, Uppsala;Distans;Beviljat;35;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01984;Gastronomiledare - framtidens mat och protein;Grundsund, Strängnäs, Visby;Distans;Beviljat;23;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01985;Byggnadsingenjör Energi och ROT ;Kista, Lund, Västerås;Distans;Beviljat;30;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01986;Platschef  Samhällsbyggnad;Falun, Hisings Kärra, Knivsta, Norrköping;Distans;Beviljat;30;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH01996;Elingenjör - Fastighet, industri och järnväg;Helsingborg;Distans;Beviljat;25;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH02015;Mobilitetstekniker – Hållbara drivmedel;Västerås;Distans;Startat;30;31
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH02017;Tekniker i hållbara verkstadsmiljöer;Järfälla;Distans;Beviljat;30;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH02026;UAS fjärrpilot och operatör inom kategori specifik;Örnsköldsvik;Distans;Beviljat;20;
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH02056;C++ for Developers;Trollhättan;Distans;Startat;90;35
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH02083;Electric Propulsion Technologies;Göteborg;Distans;Startat;90;21
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH02161;Byggnadsfysik inom träbyggnation;Nässjö;Distans;Startat;105;26
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH02376;Projektör Infrastruktur;Borlänge, Luleå;Distans;Startat;35;44
YH Akademin AB;Holmgatan 22, 3tr;Box 127;79123;Falun;yh@ya.se;023-585 00;YH02396;Processoperatör för hållbar produktion;Lidköping, Nynäshamn;Distans;Startat;30;30
